source_file,model,num_samples,seq_len,batch_size,layers,op_types,experiment,layer,variant,param,recall_mean,recall_P50,recall_P90,recall_P99,recall_weighted_mean,new_mass_ratio_mean,num_pairs,replacement_mean,replacement_P90,replacement_P99,H_size,recall_P10,recall_P25,recall_min,hot_value_ratio,residual_K,gini,num_ever_active,sublibrary_size_mean,sublibrary_ratio,cross_route_recall,cross_route_gap,cluster_size_mean,cluster_size_min,cluster_size_max,candidate_size_mean,candidate_ratio_mean,actual_seed_count_mean,recall_train_table,cv_gap
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.o_proj,topK,m=128,1.0,1.0,1.0,1.0,1.0,0.506705641746521,1308160,80.4951405026908,102.0,116.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.o_proj,topL_1.5,m=0,0.43372904260564454,0.4296875,0.6328125,0.7734375,0.5427374839782715,0.45726248621940613,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.o_proj,topL_2.0,m=0,0.477986882577437,0.4765625,0.6875,0.8359375,0.5771415829658508,0.4228583872318268,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.o_proj,union2,m=0,0.4376793489997401,0.4375,0.609375,0.734375,0.5542301535606384,0.44576990604400635,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/hotset/hotset_results.json,/root/models/Qwen3-0.6B,2560,512,,"0,7,14,21,27",,hotset,layers.0.mlp.gate_up_proj,hotset,|H|=81(1%),0.2065940797328949,0.203125,0.359375,,0.13147275149822235,,,,,,81,0.0546875,0.1015625,0.0,0.12564703822135925,101.55595397949219,0.4632612696033902,8192,,,,,,,,,,,,
results/activation_patterns/hotset/hotset_results.json,/root/models/Qwen3-0.6B,2560,512,,"0,7,14,21,27",,hotset,layers.0.mlp.gate_up_proj,hotset,|H|=409(5%),0.38546687364578247,0.3359375,0.734375,,0.2760748267173767,,,,,,409,0.09375,0.1796875,0.0,0.2551538348197937,78.66024017333984,0.4632612696033902,8192,,,,,,,,,,,,
results/activation_patterns/hotset/hotset_results.json,/root/models/Qwen3-0.6B,2560,512,,"0,7,14,21,27",,hotset,layers.0.mlp.gate_up_proj,hotset,|H|=819(10%),0.464211642742157,0.40625,0.9296875,,0.38393235206604004,,,,,,819,0.1171875,0.2265625,0.0078125,0.35769036412239075,68.5809097290039,0.4632612696033902,8192,,,,,,,,,,,,
results/activation_patterns/hotset/hotset_results.json,/root/models/Qwen3-0.6B,2560,512,,"0,7,14,21,27",,hotset,layers.0.mlp.gate_up_proj,hotset,|H|=1638(20%),0.5584991574287415,0.5078125,0.9921875,,0.4977966248989105,,,,,,1638,0.21875,0.3125,0.0625,0.47374066710472107,56.512107849121094,0.4632612696033902,8192,,,,,,,,,,,,
results/activation_patterns/hotset/hotset_results.json,/root/models/Qwen3-0.6B,2560,512,,"0,7,14,21,27",,hotset,layers.0.self_attn.qkv_proj,hotset,|H|=81(1%),0.09292667359113693,0.0390625,0.2421875,,0.12094540894031525,,,,,,81,0.0234375,0.03125,0.0,0.11138850450515747,116.10538482666016,0.39634469598240685,8192,,,,,,,,,,,,
results/activation_patterns/hotset/hotset_results.json,/root/models/Qwen3-0.6B,2560,512,,"0,7,14,21,27",,hotset,layers.0.self_attn.qkv_proj,hotset,|H|=409(5%),0.24032263457775116,0.09375,0.6328125,,0.24896469712257385,,,,,,409,0.0390625,0.0546875,0.0078125,0.23082475364208221,97.23870086669922,0.39634469598240685,8192,,,,,,,,,,,,
results/activation_patterns/hotset/hotset_results.json,/root/models/Qwen3-0.6B,2560,512,,"0,7,14,21,27",,hotset,layers.0.self_attn.qkv_proj,hotset,|H|=819(10%),0.35176435112953186,0.1640625,1.0,,0.3389659523963928,,,,,,819,0.078125,0.09375,0.0234375,0.31243768334388733,82.97416687011719,0.39634469598240685,8192,,,,,,,,,,,,
results/activation_patterns/hotset/hotset_results.json,/root/models/Qwen3-0.6B,2560,512,,"0,7,14,21,27",,hotset,layers.0.self_attn.qkv_proj,hotset,|H|=1638(20%),0.48871707916259766,0.3203125,1.0,,0.45498767495155334,,,,,,1638,0.1875,0.2265625,0.0703125,0.4286036491394043,65.4442138671875,0.39634469598240685,8192,,,,,,,,,,,,
results/activation_patterns/hotset/hotset_results.json,/root/models/Qwen3-0.6B,2560,512,,"0,7,14,21,27",,hotset,layers.0.self_attn.o_proj,hotset,|H|=163(1%),0.13236403465270996,0.109375,0.28125,,0.11354728043079376,,,,,,163,0.0390625,0.0625,0.0,0.109319306910038,111.05740356445312,0.41781176280273935,16384,,,,,,,,,,,,
results/activation_patterns/hotset/hotset_results.json,/root/models/Qwen3-0.6B,2560,512,,"0,7,14,21,27",,hotset,layers.0.self_attn.o_proj,hotset,|H|=819(5%),0.3042926788330078,0.1875,0.8515625,,0.2887105345726013,,,,,,819,0.0625,0.09375,0.0,0.27556484937667847,89.050537109375,0.41781176280273935,16384,,,,,,,,,,,,
